name,rel_date,genres,rating,movie_rated,run_length
Hotel Rwanda,2005-02-04,Biography; Drama; History; ,8.1,PG-13,2h 1min
The Aviator,2004-12-25,Biography; Drama; ,7.5,PG-13,2h 50min
Downfall,2005-04-08,Biography; Drama; History; ,8.2,R,2h 36min
Raging Bull,1980-12-19,Biography; Drama; Sport; ,8.2,R,2h 9min
The Irishman,2019-11-27,Biography; Crime; Drama; ,7.9,R,3h 29min
The Blind Side,2009-11-20,Biography; Drama; Sport; ,7.6,PG-13,2h 9min
Public Enemies,2009-07-01,Biography; Crime; Drama; ,7.0,R,2h 20min
Donnie Brasco,1997-02-28,Biography; Crime; Drama; ,7.7,R,2h 7min
Lone Survivor,2014-01-10,Action; Biography; Drama; ,7.5,R,2h 1min
Lawrence of Arabia,1962-12-11,Adventure; Biography; Drama; ,8.3,Approved,3h 48min
Lincoln,2012-11-16,Biography; Drama; History; ,7.3,PG-13,2h 30min
Blow,2001-04-06,Biography; Crime; Drama; ,7.6,R,2h 4min
Changeling,2008-10-31,Biography; Crime; Drama; ,7.7,R,2h 21min
Ford v Ferrari,2019-11-15,Action; Biography; Drama; ,8.1,PG-13,2h 32min
Dog Day Afternoon,1975-12-25,Biography; Crime; Drama; ,8.0,R,2h 5min
Walk the Line,2005-11-18,Biography; Drama; Music; ,7.8,PG-13,2h 16min
Sully,2016-09-09,Biography; Drama; ,7.4,PG-13,1h 36min
The Greatest Showman,2017-12-20,Biography; Drama; ,7.6,PG,1h 45min
Gandhi,1983-02-25,Biography; Drama; History; ,8.0,PG,3h 11min
The Elephant Man,1980-10-10,Biography; Drama; ,8.1,PG,2h 4min
Ip Man,2008-12-12,Action; Biography; Drama; ,8.0,R,1h 46min
Lion,2017-01-06,Biography; Drama; ,8.0,PG-13,1h 58min
BlacKkKlansman,2018-08-10,Biography; Crime; Drama; ,7.5,R,2h 15min
Butch Cassidy and the Sundance Kid,1969-09-24,Biography; Crime; Drama; ,8.0,PG,1h 50min
The Sound of Music,1965-04-01,Biography; Drama; ,8.0,G,2h 52min
Finding Neverland,2004-12-17,Biography; Drama; ,7.7,PG,1h 46min
Remember the Titans,2000-09-29,Biography; Drama; Sport; ,7.8,PG,1h 53min
Everest,2015-09-25,Action; Adventure; Biography; ,7.1,PG-13,2h 1min
Hidden Figures,2017-01-06,Biography; Drama; History; ,7.8,PG,2h 7min
Straight Outta Compton,2015-08-14,Biography; Drama; History; ,7.9,R,2h 27min
Cinderella Man,2005-06-03,Biography; Drama; History; ,8.0,PG-13,2h 24min
Jarhead,2005-11-04,Action; Biography; Drama; ,7.0,R,2h 5min
The Last King of Scotland,2007-01-19,Biography; Drama; History; ,7.7,R,2h 3min
"I, Tonya",2018-01-19,Biography; Comedy; Drama; ,7.5,R,1h 59min
War Dogs,2016-08-19,Biography; Comedy; Crime; ,7.1,R,1h 54min
Erin Brockovich,2000-03-17,Biography; Drama; ,7.3,R,2h 11min
The Assassination of Jesse James by the Coward Robert Ford,2007-10-19,Biography; Crime; Drama; ,7.5,R,2h 40min
Black Mass,2015-09-18,Biography; Crime; Drama; ,6.9,R,2h 3min
Darkest Hour,2017-12-22,Biography; Drama; ,7.4,PG-13,2h 5min
Ed Wood,1994-10-07,Biography; Comedy; Drama; ,7.8,R,2h 7min
Milk,2009-01-30,Biography; Drama; ,7.5,R,2h 8min
The Favourite,2018-12-21,Biography; Comedy; Drama; ,7.5,R,1h 59min
Alexander,2004-11-24,Action; Biography; Drama; ,5.6,R,2h 55min
"Girl, Interrupted",2000-01-14,Biography; Drama; ,7.3,R,2h 7min
The Danish Girl,2016-01-22,Biography; Drama; Romance; ,7.1,R,1h 59min
The Insider,1999-11-05,Biography; Drama; Thriller; ,7.8,R,2h 37min
First Man,2018-10-12,Biography; Drama; History; ,7.3,PG-13,2h 21min
Legend,2015-11-20,Biography; Crime; Drama; ,6.9,R,2h 12min
American Made,2017-09-29,Action; Biography; Comedy; ,7.2,R,1h 55min
In the Name of the Father,1994-02-25,Biography; Drama; ,8.1,R,2h 13min
Steve Jobs,2015-10-23,Biography; Drama; ,7.2,R,2h 2min
Saving Mr. Banks,2013-12-20,Biography; Comedy; Drama; ,7.5,PG-13,2h 5min
Invictus,2009-12-11,Biography; Drama; History; ,7.3,PG-13,2h 14min
Dangal,2016-12-21,Action; Biography; Drama; ,8.4,Not Rated,2h 41min
Unbroken,2014-12-25,Biography; Drama; Sport; ,7.2,PG-13,2h 17min
Ray,2004-10-29,Biography; Drama; Music; ,7.7,PG-13,2h 32min
Monster,2004-01-30,Biography; Crime; Drama; ,7.3,R,1h 49min
Foxcatcher,2015-01-16,Biography; Drama; Sport; ,7.0,R,2h 14min
The Disaster Artist,2017-12-08,Biography; Comedy; Drama; ,7.4,R,1h 44min
Molly's Game,2018-01-05,Biography; Crime; Drama; ,7.4,R,2h 20min
Snowden,2016-09-16,Biography; Crime; Drama; ,7.3,R,2h 14min
Joy,2015-12-25,Biography; Drama; ,6.6,PG-13,2h 4min
Seven Years in Tibet,1997-10-10,Adventure; Biography; Drama; ,7.1,PG-13,2h 16min
"Good Morning, Vietnam",1988-01-15,Biography; Comedy; Drama; ,7.3,R,2h 1min
Capote,2006-02-03,Biography; Crime; Drama; ,7.3,R,1h 54min
Coach Carter,2005-01-14,Biography; Drama; Sport; ,7.3,PG-13,2h 16min
Tombstone,1993-12-25,Action; Biography; Drama; ,7.8,R,2h 10min
Man on the Moon,1999-12-22,Biography; Comedy; Drama; ,7.4,R,1h 58min
Spartacus,1960-11-17,Adventure; Biography; Drama; ,7.9,PG-13,3h 17min
Rocketman,2019-05-31,Biography; Drama; Music; ,7.3,R,2h 1min
Guardians of the Galaxy,2014-08-01,Comedy; ,8.0,PG-13,2h 1min
Back to the Future,1985-07-03,Comedy; ,8.5,PG,1h 56min
Finding Nemo,2003-05-30,Comedy; ,8.1,G,1h 40min
Up,2009-05-29,Comedy; ,8.2,PG,1h 36min
The Truman Show,1998-06-05,Comedy; ,8.1,PG,1h 43min
Deadpool,2016-02-12,Comedy; ,8.0,R,1h 48min
Toy Story,1995-11-22,Comedy; ,8.3,G,1h 21min
"Monsters, Inc.",2001-11-02,Comedy; ,8.0,G,1h 32min
Snatch,2001-01-19,Comedy; ,8.3,R,1h 42min
Toy Story 3,2010-06-18,Comedy; ,8.3,G,1h 43min
The Intouchables,2012-07-13,Comedy; ,8.5,R,1h 52min
The Big Lebowski,1998-03-06,Comedy; ,8.1,R,1h 57min
The Hangover,2009-06-05,Comedy; ,7.7,R,1h 40min
Amélie,2002-02-08,Comedy; Romance; ,8.3,R,2h 2min
The Grand Budapest Hotel,2014-03-28,Comedy; ,8.1,R,1h 39min
Silver Linings Playbook,2012-12-25,Comedy; Romance; ,7.7,R,2h 2min
Ratatouille,2007-06-29,Comedy; ,8.0,G,1h 51min
Life Is Beautiful,1999-02-12,Comedy; Romance; ,8.6,PG-13,1h 56min
Shrek,2001-05-18,Comedy; ,7.8,PG,1h 30min
Inside Out,2015-06-19,Comedy; ,8.1,PG,1h 35min
Kingsman: The Secret Service,2015-02-13,Comedy; ,7.7,R,2h 9min
Groundhog Day,1993-02-12,Comedy; Romance; ,8.0,PG,1h 41min
Birdman or (The Unexpected Virtue of Ignorance),2014-11-14,Comedy; ,7.7,R,1h 59min
Ted,2012-06-29,Comedy; ,6.9,R,1h 46min
Thor: Ragnarok,2017-11-03,Comedy; ,7.9,PG-13,2h 10min
Frozen,2013-11-27,Comedy; ,7.4,PG,1h 42min
Ant-Man,2015-07-17,Comedy; ,7.3,PG-13,1h 57min
Guardians of the Galaxy Vol. 2,2017-05-05,Comedy; ,7.6,PG-13,2h 16min
"Lock, Stock and Two Smoking Barrels",1998-08-28,Comedy; ,8.2,R,1h 47min
Kick-Ass,2010-04-16,Comedy; ,7.6,R,1h 57min
Toy Story 2,1999-11-24,Comedy; ,7.9,G,1h 32min
Superbad,2007-08-17,Comedy; ,7.6,R,1h 53min
Zombieland,2009-10-02,Comedy; ,7.6,R,1h 28min
Men in Black,1997-07-02,Comedy; ,7.3,PG-13,1h 38min
21 Jump Street,2012-03-16,Comedy; ,7.2,R,1h 49min
Shaun of the Dead,2004-09-24,Comedy; ,7.9,R,1h 39min
Despicable Me,2010-07-09,Comedy; ,7.6,PG,1h 35min
Monty Python and the Holy Grail,1979-12-06,Comedy; ,8.2,PG,1h 31min
Once Upon a Time... in Hollywood,2019-07-26,Comedy; ,7.7,R,2h 41min
La La Land,2016-12-25,Comedy; ,8.0,PG-13,2h 8min
Juno,2007-12-25,Comedy; ,7.4,PG-13,1h 36min
American Psycho,2000-04-14,Comedy; ,7.6,R,1h 41min
Back to the Future Part II,1989-11-22,Comedy; ,7.8,PG,1h 48min
500 Days of Summer,2009-08-07,Comedy; Romance; ,7.7,PG-13,1h 35min
"Crazy, Stupid, Love",2011-07-29,Comedy; Romance; ,7.4,PG-13,1h 58min
Deadpool 2,2018-05-18,Comedy; ,7.7,R,1h 59min
The Hangover Part II,2011-05-26,Comedy; ,6.4,R,1h 42min
Hot Fuzz,2007-04-20,Comedy; ,7.8,R,2h 1min
Home Alone,1990-11-16,Comedy; ,7.6,PG,1h 43min
Parasite,2019-11-08,Comedy; ,8.6,R,2h 12min
Mr. & Mrs. Smith,2005-06-10,Comedy; ,6.5,PG-13,2h
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964-01-29,Comedy; ,8.4,PG,1h 35min
Little Miss Sunshine,2006-08-18,Comedy; ,7.8,R,1h 41min
Ice Age,2002-03-15,Comedy; ,7.5,PG,1h 21min
Zootopia,2016-03-04,Comedy; ,8.0,PG,1h 48min
Horrible Bosses,2011-07-08,Comedy; ,6.9,R,1h 38min
Love Actually,2003-11-14,Comedy; Romance; ,7.6,R,2h 15min
Charlie and the Chocolate Factory,2005-07-15,Comedy; ,6.6,PG,1h 55min
Shrek 2,2004-05-19,Comedy; ,7.2,PG,1h 33min
Dead Poets Society,1989-06-09,Comedy; ,8.1,PG,2h 8min
"Three Billboards Outside Ebbing, Missouri",2017-12-01,Comedy; ,8.2,R,1h 55min
Lost in Translation,2003-10-03,Comedy; ,7.7,R,1h 42min
Tangled,2010-11-24,Comedy; ,7.7,PG,1h 40min
The Terminal,2004-06-18,Comedy; Romance; ,7.4,PG-13,2h 8min
We're the Millers,2013-08-07,Comedy; ,7.0,R,1h 50min
Back to the Future Part III,1990-05-25,Comedy; ,7.4,PG,1h 58min
The 40-Year-Old Virgin,2005-08-19,Comedy; Romance; ,7.1,R,1h 56min
In Bruges,2008-02-29,Comedy; ,7.9,R,1h 47min
Midnight in Paris,2011-06-10,Comedy; Romance; ,7.7,PG-13,1h 34min
This Is the End,2013-06-12,Comedy; ,6.6,R,1h 47min
Tropic Thunder,2008-08-13,Comedy; ,7.0,R,1h 47min
Wreck-It Ralph,2012-11-02,Comedy; ,7.7,PG,1h 41min
American Pie,1999-07-09,Comedy; ,7.0,R,1h 35min
Scott Pilgrim vs. the World,2010-08-13,Comedy; ,7.5,PG-13,1h 52min
Bruce Almighty,2003-05-23,Comedy; ,6.8,PG-13,1h 41min
Brave,2012-06-22,Comedy; ,7.1,PG,1h 33min
Despicable Me 2,2013-07-03,Comedy; ,7.3,PG,1h 38min
Aladdin,1992-11-25,Comedy; ,8.0,G,1h 30min
The Devil Wears Prada,2006-06-30,Comedy; ,6.9,PG-13,1h 49min
Monty Python's Life of Brian,1979-08-17,Comedy; ,8.1,R,1h 34min
Madagascar,2005-05-27,Comedy; ,6.9,PG,1h 26min
Cars,2006-06-09,Comedy; ,7.1,G,1h 57min
Easy A,2010-09-17,Comedy; Romance; ,7.0,PG-13,1h 32min
Dumb and Dumber,1994-12-16,Comedy; ,7.3,PG-13,1h 47min
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006-11-03,Comedy; ,7.3,R,1h 24min
Ghostbusters,1984-06-08,Comedy; ,7.8,PG,1h 45min
The Big Short,2015-12-23,Comedy; ,7.8,R,2h 10min
The Breakfast Club,1985-02-15,Comedy; ,7.9,R,1h 37min
Knocked Up,2007-06-01,Comedy; Romance; ,6.9,R,2h 9min
Knives Out,2019-11-27,Comedy; ,7.9,PG-13,2h 10min
22 Jump Street,2014-06-13,Comedy; ,7.0,R,1h 52min
The Mask,1994-07-29,Comedy; ,6.9,PG-13,1h 41min
Men in Black II,2002-07-03,Comedy; ,6.2,PG-13,1h 28min
Green Book,2018-11-16,Comedy; ,8.2,PG-13,2h 10min
Friends with Benefits,2011-07-22,Comedy; Romance; ,6.5,R,1h 49min
3 Idiots,2009-12-25,Comedy; ,8.4,PG-13,2h 50min
Yes Man,2008-12-19,Comedy; Romance; ,6.8,PG-13,1h 44min
Men in Black 3,2012-05-25,Comedy; ,6.8,PG-13,1h 46min
Wedding Crashers,2005-07-15,Comedy; Romance; ,6.9,R,1h 59min
Anchorman: The Legend of Ron Burgundy,2004-07-09,Comedy; ,7.2,PG-13,1h 34min
Pulp Fiction,1994-10-14,Crime; Drama; ,8.9,R,2h 34min
The Godfather,1972-03-24,Crime; Drama; ,9.2,R,2h 55min
Se7en,1995-09-22,Crime; Drama; Mystery; ,8.6,R,2h 7min
The Silence of the Lambs,1991-02-14,Crime; Drama; Thriller; ,8.6,R,1h 58min
The Departed,2006-10-06,Crime; Drama; Thriller; ,8.5,R,2h 31min
The Green Mile,1999-12-10,Crime; Drama; Fantasy; ,8.6,R,3h 9min
The Godfather: Part II,1974-12-18,Crime; Drama; ,9.0,R,3h 22min
The Usual Suspects,1995-08-16,Crime; Mystery; Thriller; ,8.5,R,1h 46min
Reservoir Dogs,1992-09-02,Crime; Drama; Thriller; ,8.3,R,1h 39min
No Country for Old Men,2007-11-21,Crime; Drama; Thriller; ,8.1,R,2h 2min
Joker,2019-10-04,Crime; Drama; Thriller; ,8.5,R,2h 2min
Snatch,2001-01-19,Comedy; Crime; ,8.3,R,1h 42min
A Clockwork Orange,1972-02-02,Crime; Drama; Sci-Fi; ,8.3,R,2h 16min
Sin City,2005-04-01,Crime; Thriller; ,8.0,R,2h 4min
Scarface,1983-12-09,Crime; Drama; ,8.3,R,2h 50min
The Big Lebowski,1998-03-06,Comedy; Crime; Sport; ,8.1,R,1h 57min
Taxi Driver,1976-02-09,Crime; Drama; ,8.3,R,1h 54min
City of God,2004-02-13,Crime; Drama; ,8.6,R,2h 10min
12 Angry Men,1957-04-10,Crime; Drama; ,8.9,Approved,1h 36min
Fargo,1996-04-05,Crime; Drama; Thriller; ,8.1,R,1h 38min
Now You See Me,2013-05-31,Crime; Mystery; Thriller; ,7.3,PG-13,1h 55min
Prisoners,2013-09-20,Crime; Drama; Mystery; ,8.1,R,2h 33min
Heat,1995-12-15,Crime; Drama; Thriller; ,8.2,R,2h 50min
Drive,2011-09-16,Crime; Drama; ,7.8,R,1h 40min
L.A. Confidential,1997-09-19,Crime; Drama; Mystery; ,8.2,R,2h 18min
Ocean's Eleven,2001-12-07,Crime; Thriller; ,7.7,PG-13,1h 56min
The Hateful Eight,2015-12-30,Crime; Drama; Mystery; ,7.8,R,2h 48min
American Psycho,2000-04-14,Comedy; Crime; Drama; ,7.6,R,1h 41min
Casino,1995-11-22,Crime; Drama; ,8.2,R,2h 58min
Nightcrawler,2014-10-31,Crime; Drama; Thriller; ,7.9,R,1h 57min
Mr. & Mrs. Smith,2005-06-10,Action; Comedy; Crime; ,6.5,PG-13,2h
American Hustle,2013-12-20,Crime; Drama; ,7.2,R,2h 18min
Zodiac,2007-03-02,Crime; Drama; Mystery; ,7.7,R,2h 37min
Baby Driver,2017-06-28,Action; Crime; Drama; ,7.6,R,1h 53min
Horrible Bosses,2011-07-08,Comedy; Crime; ,6.9,R,1h 38min
Crash,2005-05-06,Crime; Drama; Thriller; ,7.7,R,1h 52min
Mystic River,2003-10-15,Crime; Drama; Mystery; ,7.9,R,2h 18min
